"We acknowledge the authors, originating and submitting laboratories of the sequences from GISAIDÕs EpiFluª Database on which this research is based."						
Accession_number	Virus_name	Subtype	Segment	Data_base	Submitting_lab	Authors
KT327371	A_goose_Taiwan_01042_2015	H5N3	1	NCBI		
EPI588965	A_chicken_Taiwan_a174_2015	H5N3	1	GISAID	Animal Health Research Institute	"Yu-Ju,Lin; Li-Hsuan,Chen; Wan-Chen,Li; Yu-Pin,Liu; Ming-Shiuh,Lee; Ming-Chu,Cheng; Hsiang-Jung,Tsai"
KC535016	A_Japanese_white_eye_Taoyuan_Q454_2012	H5N1	1	NCBI		
AB507255	A_chicken_Taiwan_1209_2003	H5N2	1	NCBI		
KF193393	A_chicken_Taiwan_0101_2012	H5N2	1	NCBI		
AB507261	A_chicken_Taiwan_A703_1_2008	H5N2	1	NCBI		
KJ162585	A_chicken_Taiwan_683_2012	H5N2	1	NCBI		
KF193401	A_chicken_Taiwan_A1997_2012	H5N2	1	NCBI		
KR137683	A_chicken_TY_a665_2015	H5N2	1	NCBI		
KR137675	A_chicken_CH_a556_2015	H5N2	1	NCBI		
EPI961919	A_chicken_Taiwan_u7_2016	H5N2	1	GISAID	Animal Health Research Institute	"Yu-Ju,Lin; Li-Hsuan,Chen; Wan-Chen,Li; Yen-Ping,Chen; Yu-Pin,Liu; Fan,Lee; Wen-Jane,Tu"
KU646890	A_goose_Taiwan_01040_2015	H5N2	1	NCBI		
EPI588973	A_duck_Taiwan_a068_2015	H5N8	1	GISAID	Animal Health Research Institute	"Yu-Ju,Lin; Li-Hsuan,Chen; Wan-Chen,Li; Yu-Pin,Liu; Ming-Shiuh,Lee; Ming-Chu,Cheng; Hsiang-Jung,Tsai"
EPI961928	A_chicken_Taiwan_x37_2016	H5N8	1	GISAID	Animal Health Research Institute	"Yu-Ju,Lin; Li-Hsuan,Chen; Wan-Chen,Li; Yen-Ping,Chen; Yu-Pin,Liu; Fan,Lee; Wen-Jane,Tu"
KJ162801	A_duck_Taiwan_11254_2013	H5N2	1	NCBI		
EPI915867	A_duck_Taiwan_1702004_2017	H5N6	1	GISAID	Animal Health Research Institute	"Yu-Ju,Lin; Li-Hsuan,Chen; Wan-Chen,Li; Yen-Ping,Chen; Yu-Pin,Liu; Fan,Lee; Wen-Jane,Tu"
KJ162713	A_duck_Taiwan_755_2013	H5N2	1	NCBI		
KC785066	A_duck_Taiwan_DV1236_2009	H5N2	1	NCBI		
KP792305	A_duck_Taiwan_DV518_2006	H5N2	1	NCBI		
KT327385	A_goose_Taiwan_01003_2015	H5N8	1	NCBI		
KT388465	A_goose_Taiwan_TNC4_2015	H5N8	1	NCBI		
KU646930	A_goose_Taiwan_01026_2015	H5N8	1	NCBI		
KT388449	A_goose_Taiwan_TNC2_2015	H5N8	1	NCBI		
KU646938	A_goose_Taiwan_01039_2015	H5N8	1	NCBI		
EPI1119037	A_spoonbill_Taiwan_DB645_2017	H5N6	1	GISAID	Animal Health Research Institute	"Yu-Ju,Lin; Li-Hsuan,Chen; Wan-Chen,Li; Yen-Ping,Chen; Yu-Pin,Liu; Fan,Lee; Wen-Jane,Tu"
EPI866831	A_duck_Aichi_231002_2016	H6N5	1	GISAID	National Institute of Animal Health	
MK592418	A_Whooper_swans_Hokkaido_W14_2017	H5N2	1	NCBI		
MN208016	A_teal_Egypt_MB_D_487OP_2016	H7N3	1	NCBI		
MF693922	A_mallard_duck_Netherlands_35_2015	H4N6	1	NCBI		
MN171423	A_duck_Chongqing_S4362_2017	H5N3	1	NCBI		
MK978901	A_duck_Hokkaido_X9_2016	H8N4	1	NCBI		
EPI855652	A_duck_Kagoshima_461213_2013	H4N6	1	GISAID	National Institute of Animal Health	
EPI866807	A_duck_Fukui_181015_2016	H6N2	1	GISAID	National Institute of Animal Health	
EPI867653	A_duck_Gunma_4_2016	H3N8	1	GISAID	National Institute of Animal Health	
MN378542	A_mallard_duck_South_Korea_KNU2018_58_2018	H5N3	1	NCBI		
MH579386	A_mallard_Korea_F94_16_2017	H4N6	1	NCBI		
MH579402	A_mallard_Korea_CL45_2017	H4N6	1	NCBI		
EPI1139887	A_Chicken_Jiangsu_1_2018	H7N4	1	GISAID	Jiangsu Provincial Center for Disease Control & Prevention	
MG198953	A_duck_Fujian_SD013_2017	H6N6	1	NCBI		
LC339728	A_duck_Hokkaido_10_2015	H3N6	1	NCBI		
MK592578	A_swan_Hokkaido_481102_2017	H4N6	1	NCBI		
EPI855748	A_duck_Miyazaki_451105_2015	H4N6	1	GISAID	National Institute of Animal Health	
KJ200828	A_duck_Guangdong_S4251_2010	H6N6	1	NCBI		
EPI1333694	A_mallard_Khabarovsk_241_2017	H10N6	1	GISAID	State Research Center of Virology and Biotechnology (VECTOR)	"Natalia,Goncharova; Ivan,Susloparov; Natalia,Kolosova; Juliya,Bulanovich; Vasiliy,Marchenko; Alexander,Ryzhikov"
